prolific1:1,choose_a_number:1,they:1,they:2,they:3,han:1,han:2,han:3,mc_01:1,mc_02:1,mc_03:1,mc_04:1,mc_05:1,mc_06:1,mc_07:1,mc_15:1,mc_16:1,mc_17:1,mc_18:1,mc_19:1,mc_20:1,mc_21:1,mc_101:1,mc_102:1,mc_103:1,mc_104:1,mc_105:1,mc_106:1,mc_107:1,mc_108:1,mc_109:1,mc_110:1,mc_111:1,mc_112:1,mc_113:1,mc_114:1,mc_22:1,mc_23:1,mc_24:1,mc_25:1,mc_26:1,mc_27:1,mc_28:1,mc_29:1,mc_30:1,mc_31:1,mc_32:1,mc_33:1,mc_34:1,mc_35:1,mc_136:1,mc_137:1,mc_138:1,mc_139:1,mc_140:1,mc_141:1,mc_142:1,mc_64:1,mc_65:1,mc_66:1,mc_67:1,mc_68:1,mc_69:1,mc_70:1,mc_150:1,mc_151:1,mc_152:1,mc_153:1,mc_154:1,mc_155:1,mc_156:1,mc_57:1,mc_58:1,mc_59:1,mc_60:1,mc_61:1,mc_62:1,mc_63:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
5cab528ae4e9970001f62fea,1,,,,The man is walking his dog on a lead ,He is being pulled by the dog ,He is shocked and startled by the dog pulling on the lead ,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,4,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,4,4,2,2,2,1,2,2,2,2,2,2,1,1,1,4,2,2,2,42,Female ,5,4,5,4,2022-07-06-12-04,2022-07-06-12-14,10
60db8ddfbcb65e3ec09fb5ac,2,They are struggling to handle the dog,The person and the dog look like ballon figures,the animal seems to be a dog and they seem friendly,,,,1,1,1,1,3,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,3,2,2,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,20,female ,3,3,1,1,2022-07-06-12-00,2022-07-06-12-08,8
5b9aed646a11180001a8082e,2,They are walking the dog,They look like they have started to fall over whilst walking the dog,They look like they are cursing because they have started to fall over whilst walking the dog,,,,1,1,1,1,2,2,2,4,1,2,2,2,2,2,1,1,4,2,2,2,2,1,1,1,4,4,2,2,1,1,4,4,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,4,1,4,4,2,2,2,1,1,4,4,2,2,2,40,Female ,5,1,1,3,2022-07-06-12-09,2022-07-06-12-15,6
6126b9430c33506567944999,2,They are trying to stop their dog from pulling ,Their frustrated about the dog pulling them ,They are shouting at the dog to try and stop it from pulling ,,,,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,4,2,1,1,1,1,2,2,2,1,3,2,2,2,2,2,1,1,1,2,2,2,2,28,Female,3,1,3,5,2022-07-06-11-58,2022-07-06-12-05,7
5f23dd005a990d1d4fcfee68,1,,,,He is trying to walk his dog. ,"However, the dog seems to be stronger than him by pulling him. ",He seems to be annoyed with dog for pulling. ,1,1,1,4,2,2,2,1,3,2,3,2,2,2,1,1,3,4,2,2,2,4,1,1,3,2,2,2,1,1,3,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,3,3,3,2,2,2,2,1,1,4,4,2,2,2,23,Woman ,5,3,4,5,2022-07-06-12-01,2022-07-06-12-09,8
6149c45d3b339b0df37ffefc,2,They are being dragged by their dog ,They aren't very happy about it,They can't control their dog ,,,,1,1,4,4,2,2,2,1,4,2,2,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,4,2,1,1,1,1,2,2,2,1,1,1,4,4,2,2,1,1,1,2,2,2,2,1,1,1,4,4,2,2,1,1,2,2,2,2,2,1,1,1,1,4,4,2,38,Female ,2,1,1,2,2022-07-06-11-56,2022-07-06-12-01,5
6123460a5146e28b7b216bb6,2,In this image there is a person being pulled by a dog.,They are confused about why the dog is pulling so hard.,They don't seem to enjoy the walk.,,,,1,1,1,3,2,2,2,1,1,3,3,2,2,2,1,1,1,2,2,2,2,3,1,1,3,2,2,2,1,3,3,3,2,2,2,1,1,3,3,2,2,2,1,1,1,2,3,2,2,3,1,2,2,2,2,2,3,3,3,2,2,2,2,1,1,1,3,2,2,2,30,Woman ,5,3,5,5,2022-07-06-12-04,2022-07-06-12-15,11
60fd48bc62789e40103f3636,2,The person is walking their dog.,Their dog is pulling and it looks like they are struggling to keep a good pace.,They are thinking.,,,,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,22,woman,1,1,1,1,2022-07-06-11-58,2022-07-06-12-05,7
60dc691a18f5a54079a7967c,1,,,,Hes is shouting at his dog ,He doesnt understand why his dog want to go opposite direction ,He's trying to pull his dog to the different direction ,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,39,Women ,5,5,5,5,2022-07-06-12-00,2022-07-06-12-08,8
5bf323f866dc510001b309fa,1,,,,A man is walking his dog,The dog is pulling against the lead in the opposite direction to which the man wants to go,He is becoming visibly distressed as the dog is not listening,1,1,1,3,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,3,3,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,26,Non Binary,3,1,1,1,2022-07-06-12-01,2022-07-06-12-07,6
