version: 3.4.0
T: 2516
t: radio
a: 2
l: xb_61
stime: 2022-04-21-14-05
T: 8312
t: radio
a: 1
l: xb_65
stime: 2022-04-21-14-05
T: 2737
t: radio
a: 2
l: xb_69
stime: 2022-04-21-14-05
T: 3023
t: radio
a: 1
l: xb_07
stime: 2022-04-21-14-05
T: 3163
t: radio
a: 1
l: xb_139
stime: 2022-04-21-14-05
T: 6449
t: radio
a: 1
l: xb_152
stime: 2022-04-21-14-05
T: 4408
t: radio
a: 2
l: xb_58
stime: 2022-04-21-14-05
T: 3091
t: radio
a: 2
l: xb_137
stime: 2022-04-21-14-05
T: 2227
t: radio
a: 2
l: xb_107
stime: 2022-04-21-14-05
T: 3357
t: radio
a: 2
l: xb_60
stime: 2022-04-21-14-05
T: 2479
t: radio
a: 2
l: xb_153
stime: 2022-04-21-14-05
T: 3302
t: radio
a: 1
l: xb_113
stime: 2022-04-21-14-05
T: 3641
t: radio
a: 1
l: xb_155
stime: 2022-04-21-14-05
T: 2842
t: radio
a: 1
l: xb_15
stime: 2022-04-21-14-05
T: 5250
t: radio
a: 2
l: xb_140
stime: 2022-04-21-14-05
T: 2531
t: radio
a: 1
l: xb_57
stime: 2022-04-21-14-05
T: 2261
t: radio
a: 2
l: xb_105
stime: 2022-04-21-14-06
T: 13610
t: radio
a: 2
l: xb_101
stime: 2022-04-21-14-06
T: 4543
t: radio
a: 1
l: xb_110
stime: 2022-04-21-14-06
T: 6955
t: radio
a: 2
l: xb_33
stime: 2022-04-21-14-06
T: 3989
t: radio
a: 1
l: xb_154
stime: 2022-04-21-14-06
T: 2509
t: radio
a: 1
l: xb_20
stime: 2022-04-21-14-06
T: 2430
t: radio
a: 1
l: xb_21
stime: 2022-04-21-14-06
T: 2482
t: radio
a: 1
l: xb_67
stime: 2022-04-21-14-06
T: 2131
t: radio
a: 2
l: xb_24
stime: 2022-04-21-14-06
T: 2540
t: radio
a: 2
l: xb_22
stime: 2022-04-21-14-06
T: 3079
t: radio
a: 2
l: xb_102
stime: 2022-04-21-14-06
T: 2747
t: radio
a: 1
l: xb_151
stime: 2022-04-21-14-06
T: 2773
t: radio
a: 2
l: xb_104
stime: 2022-04-21-14-06
T: 2435
t: radio
a: 1
l: xb_66
stime: 2022-04-21-14-07
T: 9893
t: radio
a: 2
l: xb_35
stime: 2022-04-21-14-07
T: 2335
t: radio
a: 1
l: demo
stime: 2022-04-21-14-07
T: 2326
t: info
l: Gender
stime: 2022-04-21-14-07
T: 9095
t: textline
a: Man
l: Gender
stime: 2022-04-21-14-07
T: 9095
t: textline
a: Man
l: Age
stime: 2022-04-21-14-07
T: 9095
t: textline
a: 27
l: GBB
stime: 2022-04-21-14-07
T: 4066
t: info
l: Gender_binary_beliefs
stime: 2022-04-21-14-08
T: 43866
t: scale
a: 1
s: 1
a: 1
s: 1
a: 1
s: 1
a: 1
s: 1
endcode: XzAxTh3CtF
end 2022-04-21-14-08
