version: 3.4.0
stime: 2022-04-21-13-02
T: 3584
t: radio
a: 1
l: mc_114
stime: 2022-04-21-13-02
T: 2272
t: radio
a: 1
l: mc_26
stime: 2022-04-21-13-02
T: 4238
t: radio
a: 1
l: mc_16
stime: 2022-04-21-13-02
T: 2081
t: radio
a: 2
l: mc_107
stime: 2022-04-21-13-03
T: 2967
t: radio
a: 2
l: mc_34
stime: 2022-04-21-13-03
T: 3923
t: radio
a: 1
l: mc_68
stime: 2022-04-21-13-03
T: 4679
t: radio
a: 1
l: mc_17
stime: 2022-04-21-13-03
T: 2969
t: radio
a: 2
l: mc_27
stime: 2022-04-21-13-03
T: 2727
t: radio
a: 1
l: mc_59
stime: 2022-04-21-13-03
T: 19462
t: radio
a: 4
l: mc_156
stime: 2022-04-21-13-03
T: 2243
t: radio
a: 1
l: mc_31
stime: 2022-04-21-13-03
T: 4087
t: radio
a: 2
l: mc_104
stime: 2022-04-21-13-03
T: 2323
t: radio
a: 1
l: mc_101
stime: 2022-04-21-13-03
T: 3676
t: radio
a: 1
l: mc_69
stime: 2022-04-21-13-03
T: 3645
t: radio
a: 1
l: mc_15
stime: 2022-04-21-13-03
T: 2242
t: radio
a: 2
l: mc_150
stime: 2022-04-21-13-04
T: 3535
t: radio
a: 2
l: mc_70
stime: 2022-04-21-13-04
T: 3001
t: radio
a: 1
l: mc_18
stime: 2022-04-21-13-04
T: 7997
t: radio
a: 4
l: mc_33
stime: 2022-04-21-13-04
T: 4825
t: radio
a: 1
l: mc_61
stime: 2022-04-21-13-04
T: 3598
t: radio
a: 1
l: mc_22
stime: 2022-04-21-13-04
T: 6153
t: radio
a: 2
l: mc_155
stime: 2022-04-21-13-04
T: 2972
t: radio
a: 1
l: mc_03
stime: 2022-04-21-13-04
T: 4797
t: radio
a: 4
l: mc_140
stime: 2022-04-21-13-04
T: 3762
t: radio
a: 1
l: mc_06
stime: 2022-04-21-13-04
T: 2343
t: radio
a: 1
l: mc_21
stime: 2022-04-21-13-04
T: 5831
t: radio
a: 1
l: mc_105
stime: 2022-04-21-13-04
T: 4956
t: radio
a: 2
l: mc_20
stime: 2022-04-21-13-05
T: 8629
t: radio
a: 4
l: mc_32
stime: 2022-04-21-13-05
T: 6989
t: radio
a: 4
l: mc_139
stime: 2022-04-21-13-05
T: 14403
t: radio
a: 4
l: mc_58
stime: 2022-04-21-13-05
T: 3688
t: radio
a: 2
l: mc_136
stime: 2022-04-21-13-05
T: 2581
t: radio
a: 2
l: mc_111
stime: 2022-04-21-13-05
T: 5117
t: radio
a: 1
l: mc_154
stime: 2022-04-21-13-05
T: 2924
t: radio
a: 1
l: mc_02
stime: 2022-04-21-13-05
T: 9596
t: radio
a: 2
l: mc_24
stime: 2022-04-21-13-05
T: 3173
t: radio
a: 2
l: demo
stime: 2022-04-21-13-06
T: 6633
t: info
l: Age
stime: 2022-04-21-13-06
T: 9949
t: textline
a: 37
l: Age
stime: 2022-04-21-13-06
T: 9949
t: textline
a: 37
l: Gender
stime: 2022-04-21-13-06
T: 9949
t: textline
a: female
l: GBB
stime: 2022-04-21-13-06
T: 9178
t: info
l: Gender_binary_beliefs
stime: 2022-04-21-13-07
T: 62400
t: scale
a: 2
s: 2
a: 3
s: 3
a: 1
s: 1
a: 4
s: 4
endcode: 2Mu4BVKcP4
end 2022-04-21-13-07
