version: 3.4.0
l: mc_26
stime: 2022-04-26-10-11
T: 4453
t: radio
a: 1
l: mc_24
stime: 2022-04-26-10-11
T: 5246
t: radio
a: 2
l: mc_59
stime: 2022-04-26-10-11
T: 3202
t: radio
a: 2
l: mc_23
stime: 2022-04-26-10-11
T: 2909
t: radio
a: 2
l: mc_105
stime: 2022-04-26-10-11
T: 3315
t: radio
a: 2
l: mc_61
stime: 2022-04-26-10-11
T: 3241
t: radio
a: 1
l: mc_27
stime: 2022-04-26-10-11
T: 3772
t: radio
a: 1
l: mc_151
stime: 2022-04-26-10-11
T: 6072
t: radio
a: 2
l: mc_16
stime: 2022-04-26-10-11
T: 3462
t: radio
a: 2
l: mc_150
stime: 2022-04-26-10-12
T: 5866
t: radio
a: 2
l: mc_33
stime: 2022-04-26-10-12
T: 5695
t: radio
a: 1
l: mc_07
stime: 2022-04-26-10-12
T: 5280
t: radio
a: 1
l: mc_35
stime: 2022-04-26-10-12
T: 5712
t: radio
a: 1
l: mc_142
stime: 2022-04-26-10-12
T: 3614
t: radio
a: 1
l: mc_03
stime: 2022-04-26-10-12
T: 3745
t: radio
a: 2
l: mc_109
stime: 2022-04-26-10-12
T: 3727
t: radio
a: 2
l: mc_30
stime: 2022-04-26-10-12
T: 18456
t: radio
a: 2
l: mc_153
stime: 2022-04-26-10-12
T: 3392
t: radio
a: 1
l: mc_102
stime: 2022-04-26-10-13
T: 6197
t: radio
a: 1
l: mc_108
stime: 2022-04-26-10-13
T: 2419
t: radio
a: 2
l: mc_68
stime: 2022-04-26-10-13
T: 15688
t: radio
a: 1
l: mc_01
stime: 2022-04-26-10-13
T: 5144
t: radio
a: 2
l: mc_20
stime: 2022-04-26-10-13
T: 9057
t: radio
a: 1
l: mc_104
stime: 2022-04-26-10-13
T: 6826
t: radio
a: 1
l: mc_67
stime: 2022-04-26-10-14
T: 18858
t: radio
a: 2
l: mc_05
stime: 2022-04-26-10-14
T: 3959
t: radio
a: 1
l: mc_25
stime: 2022-04-26-10-14
T: 8171
t: radio
a: 1
l: mc_64
stime: 2022-04-26-10-14
T: 8149
t: radio
a: 2
l: mc_140
stime: 2022-04-26-10-14
T: 4207
t: radio
a: 1
l: mc_154
stime: 2022-04-26-10-14
T: 17844
t: radio
a: 1
l: mc_29
stime: 2022-04-26-10-14
T: 7235
t: radio
a: 2
l: mc_65
stime: 2022-04-26-10-14
T: 3009
t: radio
a: 2
l: demo
stime: 2022-04-26-10-15
T: 8878
t: info
l: Age
stime: 2022-04-26-10-15
T: 16098
t: textline
a: 22
l: Age
stime: 2022-04-26-10-15
T: 16098
t: textline
a: 22
l: Gender
stime: 2022-04-26-10-15
T: 16098
t: textline
a: woman
l: GBB
stime: 2022-04-26-10-15
T: 5068
t: info
l: Gender_binary_beliefs
stime: 2022-04-26-10-17
T: 110929
t: scale
a: 1
s: 1
a: 1
s: 1
a: 2
s: 2
a: 1
s: 1
endcode: EhqHeuRBVj
end 2022-04-26-10-17
