version: 3.4.0
stime: 2022-04-20-09-12
T: 8146
t: range
a: 32
s: 32
l: sd_59
stime: 2022-04-20-09-12
T: 4050
t: range
a: 63
s: 63
l: sd_27
stime: 2022-04-20-09-12
T: 6628
t: range
a: 16
s: 16
l: sd_65
stime: 2022-04-20-09-12
T: 5842
t: range
a: 61
s: 61
l: sd_68
stime: 2022-04-20-09-12
T: 4898
t: range
a: 27
s: 27
l: sd_114
stime: 2022-04-20-09-12
T: 5480
t: range
a: 24
s: 24
l: sd_24
stime: 2022-04-20-09-12
T: 3943
t: range
a: 77
s: 77
l: sd_113
stime: 2022-04-20-09-12
T: 2162
t: range
a: 21
s: 21
l: sd_70
stime: 2022-04-20-09-12
T: 3448
t: range
a: 26
s: 26
l: sd_05
stime: 2022-04-20-09-12
T: 3257
t: range
a: 33
s: 33
l: sd_106
stime: 2022-04-20-09-12
T: 5034
t: range
a: 92
s: 92
l: sd_30
stime: 2022-04-20-09-13
T: 6242
t: range
a: 66
s: 66
l: sd_103
stime: 2022-04-20-09-13
T: 2880
t: range
a: 21
s: 21
l: sd_142
stime: 2022-04-20-09-13
T: 4036
t: range
a: 21
s: 21
l: sd_154
stime: 2022-04-20-09-13
T: 4680
t: range
a: 32
s: 32
l: sd_35
stime: 2022-04-20-09-13
T: 4610
t: range
a: 25
s: 25
l: sd_63
stime: 2022-04-20-09-13
T: 8132
t: range
a: 24
s: 24
l: sd_31
stime: 2022-04-20-09-13
T: 5283
t: range
a: 33
s: 33
l: sd_109
stime: 2022-04-20-09-13
T: 5370
t: range
a: 89
s: 89
l: sd_26
stime: 2022-04-20-09-13
T: 3453
t: range
a: 17
s: 17
l: sd_136
stime: 2022-04-20-09-13
T: 3346
t: range
a: 84
s: 84
l: sd_61
stime: 2022-04-20-09-13
T: 5497
t: range
a: 27
s: 27
l: sd_64
stime: 2022-04-20-09-13
T: 4551
t: range
a: 84
s: 84
l: sd_17
stime: 2022-04-20-09-14
T: 5444
t: range
a: 65
s: 65
l: sd_108
stime: 2022-04-20-09-14
T: 4034
t: range
a: 89
s: 89
l: sd_105
stime: 2022-04-20-09-14
T: 9931
t: range
a: 68
s: 68
l: sd_69
stime: 2022-04-20-09-14
T: 6135
t: range
a: 32
s: 32
l: sd_104
stime: 2022-04-20-09-14
T: 5235
t: range
a: 62
s: 62
l: sd_18
stime: 2022-04-20-09-14
T: 4595
t: range
a: 68
s: 68
l: sd_01
stime: 2022-04-20-09-14
T: 3188
t: range
a: 66
s: 66
l: sd_20
stime: 2022-04-20-09-14
T: 3023
t: range
a: 34
s: 34
l: sd_32
stime: 2022-04-20-09-14
T: 2971
t: range
a: 35
s: 35
l: sd_25
stime: 2022-04-20-09-14
T: 5719
t: range
a: 58
s: 58
l: sd_15
stime: 2022-04-20-09-14
T: 3754
t: range
a: 67
s: 67
l: sd_34
stime: 2022-04-20-09-15
T: 3827
t: range
a: 27
s: 27
l: sd_28
stime: 2022-04-20-09-15
T: 2779
t: range
a: 9
s: 9
l: sd_22
stime: 2022-04-20-09-15
T: 4510
t: range
a: 85
s: 85
l: sd_66
stime: 2022-04-20-09-15
T: 5698
t: range
a: 61
s: 61
l: sd_141
stime: 2022-04-20-09-15
T: 2799
t: range
a: 27
s: 27
l: sd_67
stime: 2022-04-20-09-15
T: 3369
t: range
a: 68
s: 68
l: sd_152
stime: 2022-04-20-09-15
T: 8836
t: range
a: 61
s: 61
l: sd_16
stime: 2022-04-20-09-15
T: 4988
t: range
a: 62
s: 62
l: sd_33
stime: 2022-04-20-09-15
T: 3552
t: range
a: 33
s: 33
l: sd_110
stime: 2022-04-20-09-15
T: 3369
t: range
a: 70
s: 70
l: sd_29
stime: 2022-04-20-09-15
T: 5158
t: range
a: 70
s: 70
l: sd_150
stime: 2022-04-20-09-15
T: 4637
t: range
a: 70
s: 70
l: sd_139
stime: 2022-04-20-09-16
T: 8461
t: range
a: 45
s: 45
l: demo
stime: 2022-04-20-09-16
T: 7066
t: info
l: Age
stime: 2022-04-20-09-16
T: 19047
t: textline
a: 22
l: Age
stime: 2022-04-20-09-16
T: 19047
t: textline
a: 22
l: Gender
stime: 2022-04-20-09-16
T: 19047
t: textline
a: Female
l: GBB
stime: 2022-04-20-09-16
T: 3610
t: info
l: Gender_binary_beliefs
stime: 2022-04-20-09-17
T: 62921
t: scale
a: 2
s: 2
a: 2
s: 2
a: 2
s: 2
a: 3
s: 3
endcode: aQNexbTNdU
end 2022-04-20-09-17
