prolific1:1,counterbalance:1,they:1,they:2,they:3,han:1,han:2,han:3,a1:1,a2:1,a3:1,a4:1,a7:1,a8_3:1,a9:1,a10:1,b01:1,b02_1:1,b02_2:1,b03:1,b04:1,b05:1,b06:1,b07:1,b08:1,b09:1,w01:1,w02:1,w03:1,w04:1,w05:1,w06:1,w07:1,w08:1,w09:1,w10:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
598b6c01716a2c000187cd46,1,,,,he person is walking his dog,the dog is pulling on his lead ,he is angry ,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,36,female,5,5,2,5,2022-07-11-14-16,2022-07-11-14-23,7
5ef37e2ca184db0e6896d19b,2,The person is taking a dog for a walk.,The dog is pulling on it's lead as it is trying to walk quicker than the human wishes to ,The person does not understand why the dog is in a rush and is irritated by it.,,,,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,4,4,1,2,4,4,4,4,2,4,4,1,1,67,Male,4,2,3,5,2022-07-11-14-15,2022-07-11-14-21,6
587b3ddbac864a0001c9bd27,1,,,,He is walking the dog,He is confused whilst walking the dog,He is taking the dog for a walk ,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,48,male,5,3,5,5,2022-07-11-14-18,2022-07-11-14-21,3
60d1298daee19d076be47f52,2,They are walking their dog on a lead.,They are confused by something.,They are shouting about in their thoughts.,,,,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,28,male,5,1,5,4,2022-07-11-14-17,2022-07-11-14-23,6
,,,,,The man is walking his fog,"The dog is not trained well, and is not walking to heel.",The man is trying very hard to stop the fog pulling him,1,1,3,3,3,2,1,3,2,1,3,1,2,3,2,1,2,2,2,3,2,1,3,2,2,1,2,2,42,Female ,5,5,1,5,,2022-07-11-14-16,
577bfad9d8e8880001b31280,2,The pet dog is draaging along their owner.,They were out for a walk.,The dog is not well behaved.,,,,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,4,2,2,1,1,2,2,67,Male,2,2,1,3,2022-07-11-14-14,2022-07-11-14-19,5
612e1143f0218f2e76cca659,2,A person is trying to hold a dog's leash.,The dog seems to be strong and hard to detain. ,"It seems the person is making a huge effort, but they are not managing to stop the dog.",,,,1,1,2,1,2,1,4,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,4,2,30,Male,1,1,1,1,2022-07-11-14-19,2022-07-11-14-28,9
62b2f81204d4b051ac211b79,2,They are taking their dog for a walk.,Their dog appears to be leading them.,They are trying to keep their dog from pulling on their lead.,,,,1,1,4,4,1,1,1,1,2,2,1,4,2,2,2,4,2,2,2,2,2,4,1,2,4,4,2,2,55,Female,1,1,1,1,2022-07-11-14-16,2022-07-11-14-22,6
,,,,,,,,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,,1,2,2,2,1,1,,1,1,,1,34,female,5,2,2,5,,2022-07-11-14-22,
5e443a70aed73b030c0d1225,2,They are Walking a dog,Seems they are trying to get the dog to stop,Looks like they are holding onto the dog and pulling on the lead,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,42,female,5,5,1,5,2022-07-11-14-13,2022-07-11-14-19,6
5e201890d6b7e131dd2bb2dd,1,,,,The person is walking his dog on a lead. ,This man is very confused while out walking.,This person is unsure of what is going on.,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,4,1,2,1,1,4,2,20,Female,4,1,3,5,2022-07-11-14-13,2022-07-11-14-18,5
5dc583731173bb3faa5c0519,2,They are being dragged along by their dog which is on a lead,They are shocked they are being dragged along by their dog!,They are wondering what is going to happen next,,,,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,47,I don't have a gender identity. I am of the female sex.,3,5,4,5,2022-07-11-14-14,2022-07-11-14-22,8
60cd051f1d5da1d9f9a00d6b,1,,,,A person is walking a dog on a lead.,The person is suggested in an abstract form and resembles a character made of balloons - I think he is male.,He is making some exclamations about the experiece of walking the dog!,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,53,Female,3,3,3,3,2022-07-11-14-17,2022-07-11-14-23,6
5ebac8f4b855e10507cfb343,1,,,,being pulled along by a wayward dog on a leash,surprised at the dog's strength,trying to halt,4,1,1,2,1,4,2,2,1,1,4,1,4,2,4,1,4,1,2,2,1,4,4,2,2,1,2,4,39,female,1,1,1,4,2022-07-11-14-45,2022-07-11-14-49,4
60f6bb7932288e2c0215d0f8,2,They are struggling to walk their dog.,The dog is pulling on the lead and nearly pulling them over.,They are worried about what is happening. Third is spelled incorrectly above this box.,,,,1,1,2,1,2,1,1,4,1,1,1,1,4,2,4,1,1,1,2,2,4,4,1,2,1,1,2,4,39,Male,1,1,1,1,2022-07-11-14-17,2022-07-11-14-20,3
5c0900bd444be20001a3538f,2,The person is taking their dog for a walk.,They appear to be giving it a command which it isn't following.,The dog is pulling it's owner along.,,,,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,61,Male,2,2,2,2,2022-07-11-14-15,2022-07-11-14-21,6
627120b98967a5dbd4922c2e,2,The person is walking their dog. ,The person is confused and irritated because the dog is pulling them in the wrong direction. ,The person is trying to stop as the dog is pulling them. ,,,,1,1,1,1,4,1,1,1,2,1,1,1,1,2,2,4,2,4,2,2,2,4,1,2,1,1,1,1,36,Male,2,3,3,3,2022-07-11-14-16,2022-07-11-14-20,4
,,The person is walking their dog.,The person is thinking about something. They are thinking about a question and maybe an answer.,A dog is being walked and maybe decided to walk a little bit faster.,,,,1,1,2,3,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,21,gender non conforming,1,1,1,1,,2022-07-11-14-19,
5bdb3a8a7d2000000160cc3a,1,,,,A man is confused and frustratrated/angry.,He is being pulled along by an over active dog on a lead,He is either skidding on the ground or trying to resit being pulled by the dog,3,4,3,1,2,3,2,2,4,1,1,1,4,3,3,4,3,1,2,2,2,2,4,2,1,3,1,2,42,Female/Non-binary,1,1,1,1,2022-07-11-14-14,2022-07-11-14-18,4
6133a9be94506b0452f7cb54,2,THEY ARE PULLING THIER DOG,THEY ARE TALKING TO THIER THEIR DOG,THEY ARE TRYONG TO WALK AWAY,,,,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,55,FEMALE,1,1,1,3,2022-07-11-14-20,2022-07-11-14-24,4
615b01689104868131f19f8f,1,,,,He is taking his dog for a walk,The dog is on a leash pulling his owner along,The dog owner os thinking about somthing and has an epiphany,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,60,woman,1,1,1,2,2022-07-11-14-30,2022-07-11-14-37,7
5cec19ae90bfb10018ab2f09,2,They are walking their dog,They are being pulled along by the dog,They are cursing  and shouting,,,,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,38,Male,5,1,4,4,2022-07-11-14-19,2022-07-11-14-23,4
5ecf82c4e84c2d01e7ba2f7a,2,They are walking their dog,They are being pulled by their dog,They are about to fall over,,,,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,1,1,2,20,female,3,1,1,1,2022-07-11-14-23,2022-07-11-14-26,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Female,1,1,1,1,,2022-07-11-14-13,
,,,,,He is walking his dog,He is questioning and alarmed at something he's thinking about and/or has seen,It looks like he is trying to stop the dog from walking any further because of the accents near his feet,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,26,female,1,1,1,1,,2022-07-11-14-16,
60887cbf254deb7ab5095f77,1,,,,He is Walking a dog,He Is having questions in his head,He is exclaming about the response in his head ,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,51,male,3,2,3,3,2022-07-11-15-00,2022-07-11-15-04,4
