participant,prolific1:1,choose_a_number:1,they:1,they:2,they:3,han:1,han:2,han:3,mc_01:1,mc_02:1,mc_03:1,mc_04:1,mc_05:1,mc_06:1,mc_07:1,mc_15:1,mc_16:1,mc_17:1,mc_18:1,mc_19:1,mc_20:1,mc_21:1,mc_101:1,mc_102:1,mc_103:1,mc_104:1,mc_105:1,mc_106:1,mc_107:1,mc_108:1,mc_109:1,mc_110:1,mc_111:1,mc_112:1,mc_113:1,mc_114:1,mc_22:1,mc_23:1,mc_24:1,mc_25:1,mc_26:1,mc_27:1,mc_28:1,mc_29:1,mc_30:1,mc_31:1,mc_32:1,mc_33:1,mc_34:1,mc_35:1,mc_136:1,mc_137:1,mc_138:1,mc_139:1,mc_140:1,mc_141:1,mc_142:1,mc_64:1,mc_65:1,mc_66:1,mc_67:1,mc_68:1,mc_69:1,mc_70:1,mc_150:1,mc_151:1,mc_152:1,mc_153:1,mc_154:1,mc_155:1,mc_156:1,mc_57:1,mc_58:1,mc_59:1,mc_60:1,mc_61:1,mc_62:1,mc_63:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
s.109bad1d-b663-497a-b40f-256717df4abd.txt,572ddc58e5c53b000e8dfd78,2,They are taking the dog for a walk,They're a bit frustrated because their dog is pulling on the lead quite a lot ,"","","","",1,1,1,1,4,4,2,1,1,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,1,1,3,2,1,1,1,3,4,2,2,1,1,1,1,3,2,2,1,1,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,4,2,2,2,1,1,1,1,3,2,2,28,Female,1,1,1,1,2022-07-06-12-00,2022-07-06-12-06,6,
s.dff581d8-badf-492c-bfac-dc2536d05086.txt,613a351ccdd16e7b9ea085f9,1,"","","",He is walking his dog. ,He seems to be in distress. ,His dog is pulling him. ,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,3,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,24,Female,1,1,1,1,2022-07-06-12-03,2022-07-06-12-09,6,
s.a375ca42-066a-48db-bab3-97a975ad4da4.txt,5bf6bbeb31f7850001d24ce2,1,"","","",The man is taking his dog for a walk.,The dog is pulling on the lead.,The man is struggling with the dog and appears to be getting a bit angry.,1,1,1,4,2,2,2,1,4,2,2,2,2,2,1,1,4,2,2,2,2,1,4,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,4,2,2,2,2,4,1,2,2,2,2,2,1,1,1,4,2,2,2,49,Female ,2,2,2,2,2022-07-08-14-15,2022-07-08-14-23,8,
s.d9c769a9-3b81-4cc2-abe8-a205f809d70d.txt,5b942c77b2352100016db457,2,They are taking their dog for a walk.,They are struggling to control their dog.,They don't know what to think of the dog.,"","","",1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,58,Woman,5,5,5,5,2022-07-08-14-11,2022-07-08-14-24,13,
s.70d2ed51-8511-4aba-8be6-cee99faf5018.txt,60fa731fbd71296974a941d4,1,"","","",He is walking a dog ,He is being pulled by the dog ,He is getting angry,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,38,Female ,4,4,4,4,2022-07-08-14-04,2022-07-08-14-09,5,
s.8248ea00-b100-46ff-89fd-3ac77dd343c4.txt,62b01c7c42ec704b3b0b2027,1,"","","",A person is taking a medium or larger sized dog for a walk.,The dog is pulling hard as the person is struggling to hold on and stay still.,The person is trying with some force to hold the dog and stay still.,1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,4,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,2,2,2,2,2,1,1,1,4,2,2,2,34,Female,5,3,3,3,2022-07-08-14-08,2022-07-08-14-16,8,
s.93571a48-70a8-4284-aff1-bd0f6a2ea18c.txt,5eab992051d980000afe1178,2,Walking their dog ,Dog is going too fast and going crazy ,Owner is trying to calm them down but shouting,"","","",1,1,1,1,4,4,4,1,1,1,4,2,2,2,1,1,1,1,4,4,2,1,1,1,1,1,4,2,1,1,1,4,4,4,2,1,1,1,1,4,3,2,1,1,1,4,4,2,2,1,1,1,1,4,4,4,1,1,1,4,4,4,4,1,1,1,4,2,2,2,28,Female ,5,5,5,5,2022-07-06-12-19,2022-07-06-12-22,3,
s.48126da3-8959-40cb-ad07-022d6149cbbb.txt,5e831dfa79f7fb000c708f84,2,They appear to be talking a dog for a walk on a lead.,They appear to be being dragged along by their dog.,It seems that they might me shocked or alarmed or angry or confused.,"","","",1,1,1,4,2,2,2,1,1,1,1,4,4,2,3,3,4,4,4,2,2,1,1,1,4,3,3,2,1,1,3,4,3,3,2,1,1,1,4,4,2,2,1,1,4,4,4,3,3,4,4,1,4,3,2,2,3,4,4,4,2,2,2,1,1,1,4,4,2,2,26,Woman,1,1,1,1,2022-07-08-14-10,2022-07-08-14-20,10,
s.aa705b6e-4672-4b09-9dec-d96edc3b2ac9.txt,5ac8f26d1667e40001d888ff,1,"","","",He is taking a dog for a walk,He is thinking about something,He is outside,1,1,1,4,2,2,2,1,4,2,2,2,2,2,4,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,4,4,4,2,2,1,1,4,2,2,2,2,1,1,1,4,4,2,2,2,4,2,2,2,2,2,1,1,4,4,4,2,2,34,female,3,2,1,3,2022-07-06-11-54,2022-07-06-12-00,6,
s.5e0435ba-9e6d-4023-885b-188f68526d9d.txt,5c0974db5b283a0001c8a32b,1,"","","",The man is walking the dog ,The dog is pulling on the lead,The man is struggling to hold the dog and he is panicking ,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,33,Female,2,3,2,5,2022-07-08-14-04,2022-07-08-14-17,13,
s.56d15a59-be63-4b83-b9d8-85694ca4ac0b.txt,5ed90e1ff2a1840a177877d3,1,"","","",He is walking a dog that appears to be running off.,The speech bubbles seem to suggest he is alarmed and confused.,The 3 lines under him suggest that he is digging his feet into the ground to stop the dog running away.,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,4,4,2,2,2,1,1,1,1,2,2,2,1,1,1,2,4,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,4,2,2,2,1,1,1,1,4,2,2,28,female,2,2,3,3,2022-07-08-14-03,2022-07-08-14-18,15,
s.dd50344f-d143-45fb-9036-596ad72ed1e6.txt,5ef8bf58eda83205028e0db9,2,They are walking their dog on a lead.,But it seems like the dog is pulling forward and they are digging in their heels.,They seem surprised and confused by being pulled.,"","","",1,1,1,1,3,2,2,3,1,3,3,2,2,2,1,1,1,1,3,2,2,1,1,1,1,3,2,2,1,1,1,3,3,2,2,1,1,1,3,3,2,2,1,1,1,1,2,2,2,1,1,1,3,3,2,2,1,1,1,3,3,2,2,1,1,1,1,2,2,2,26,agender,1,1,1,1,2022-07-06-11-54,2022-07-06-11-58,4,
s.bf218313-c8e9-4465-8986-4d0c294ccd0d.txt,5b7f17a7338a93000155a36d,2,The person is being dragged along by a dog on a leash.,They are surprised and confused about the situation and are resisting by dragging their feet on the ground.,They continue to hold the dog on the leash.,"","","",1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,4,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,4,2,2,2,22,Woman,2,2,2,2,2022-07-06-11-59,2022-07-06-12-06,7,
s.fc08ddc6-5dcb-45d9-ae21-a8b2f5af0e1e.txt,62b0607aba2afc340c0f4389,1,"","","",He was taking his dog for walk in the park.,His dog saw other dogs and started to pull his owner because he wanted to play with the other dogs.,He was pulling back on the dogs lead so he could unclip his dog and let him go and play with the other dogs.,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,3,1,2,1,1,1,3,3,2,2,1,1,1,1,2,2,2,1,1,1,2,3,2,2,1,1,1,1,2,2,2,3,1,1,2,2,2,2,1,1,1,1,2,2,2,28,Male,4,4,3,3,2022-07-06-11-55,2022-07-06-12-04,9,
s.c80e8420-ee42-4806-8fe7-6aef9f273160.txt,5cd59972141c860019dde025,2,The person is walking a dog on a lead,The dog is pulling on the lead and they are struggling to control it,They are wondering what to do and are annoyed,"","","",1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,3,2,2,2,2,1,1,1,1,2,2,2,45,Female,2,1,1,1,2022-07-06-12-01,2022-07-06-12-13,12,
s.f7179a5e-d4b6-419a-8cdc-4a4708c163e6.txt,60891bbc83f4874212f17e38,2,The person is trying to slow the dog down.,The person has got the speach bubbles going off their head: one with question marks and the other with exclamation marks.,The dog does not seem to be responsive to their owner.,"","","",1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,4,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,4,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,32,woman,1,1,1,1,2022-07-08-14-09,2022-07-08-14-19,10,
s.aaba38f1-bf99-4f81-a8e0-9bb7211b3b35.txt,6148beccb767e62c451ce7bc,2,They are walking a dog on a lead ,The dog is pulling them along,They are wondering why the dog is doing this,"","","",1,1,1,1,2,2,2,3,3,2,2,2,2,2,1,4,3,2,2,2,2,3,1,3,1,3,2,2,1,1,1,3,2,3,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,3,3,3,2,2,2,1,3,4,2,2,2,2,1,1,3,2,2,2,2,49,Female,3,4,2,5,2022-07-08-14-04,2022-07-08-14-12,8,
s.463091d5-13fe-412e-829b-9239dae318d8.txt,5fb4f8799f1ebc2ead2ea064,2,The person is walking their dog.,The dog is pulling the person along quite quickly,"The person is exlaiming, perhaps using expletives, about the dog's actions.","","","",1,4,4,4,2,2,2,4,4,4,4,2,2,2,4,4,1,2,2,2,2,1,4,4,1,4,2,2,1,4,4,4,2,2,2,4,1,1,1,4,2,2,1,4,4,2,2,2,2,1,4,4,4,4,2,2,1,1,4,2,4,2,2,1,1,4,4,2,2,2,39,female,5,2,2,2,2022-07-06-12-02,2022-07-06-12-09,7,
s.ab594ffe-892f-4758-b5bf-aad9038774e2.txt,5cab528ae4e9970001f62fea,1,"","","",The man is walking his dog on a lead ,He is being pulled by the dog ,He is shocked and startled by the dog pulling on the lead ,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,4,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,4,4,2,2,2,1,2,2,2,2,2,2,1,1,1,4,2,2,2,42,Female ,5,4,5,4,2022-07-06-12-04,2022-07-06-12-14,10,
s.48509190-20eb-472a-9d6e-1d0f025dca61.txt,60db8ddfbcb65e3ec09fb5ac,2,They are struggling to handle the dog,The person and the dog look like ballon figures,the animal seems to be a dog and they seem friendly,"","","",1,1,1,1,3,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,3,2,2,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,20,female ,3,3,1,1,2022-07-06-12-00,2022-07-06-12-08,8,
s.694746d7-448f-4897-af18-48b8ac517f2b.txt,602bb233cb3b6f316811f09f,1,"","","",The man is being pulled along by his dog,He is shocked and wondering why the dog is pulling him ,The man is walking his dog on a lead,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,3,4,2,2,2,1,1,1,2,2,2,2,1,1,1,3,3,2,2,1,1,1,3,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,1,4,1,2,2,2,2,1,1,1,2,2,2,2,32,Female,3,2,1,2,2022-07-08-14-04,2022-07-08-14-12,8,
s.539672c9-5cf2-4296-b864-56ca888ebe45.txt,598d74208380cc00012a3a62,2,The person in the imagine is walking a dog.,The dog is pulling on the lead.,They are struggling with the lead and getting annoyed.,"","","",1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,36,Female,1,2,1,1,2022-07-08-14-06,2022-07-08-14-14,8,
s.27735a9b-b948-4c84-9338-ea2a44894d07.txt,613aeee1621e5eccccc8cea2,2,They are walking their dog ,The dog is pulling them,They are swearing at their dog ,"","","",1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,4,2,2,2,31,Female ,1,1,1,1,2022-07-08-14-13,2022-07-08-14-20,7,
s.88a3ee6a-1336-48b4-acff-4687f4a42899.txt,5cd4ad19f014930017d35d6a,1,"","","",He is walking the dog,The dog is pulling him along,He is being pulled whilst walking the dog,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,38,female,5,5,2,3,2022-07-08-14-04,2022-07-08-14-16,12,
s.40c7bbcd-c80c-4fa0-8e7e-c86dd10094da.txt,5ef436028e8b151e6ae5645e,2,the are walking a dog,being dragged along by the dog,they are stressed out by walking the dog,"","","",1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,30,female,5,5,1,3,2022-07-08-14-12,2022-07-08-14-20,8,
s.d295757f-26a8-4f77-9b0c-2d2c59d5fd8f.txt,5b9aed646a11180001a8082e,2,They are walking the dog,They look like they have started to fall over whilst walking the dog,They look like they are cursing because they have started to fall over whilst walking the dog,"","","",1,1,1,1,2,2,2,4,1,2,2,2,2,2,1,1,4,2,2,2,2,1,1,1,4,4,2,2,1,1,4,4,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,4,1,4,4,2,2,2,1,1,4,4,2,2,2,40,Female ,5,1,1,3,2022-07-06-12-09,2022-07-06-12-15,6,
s.e4f4963d-ccdd-4add-80d0-dcac8a888626.txt,60fd18014ab7337e50410a64,2,They are cross and confused as their dog is pulling to go in a different direction to the one that the own wants to go.,"They might be saying something like, 'What are you doing? You are really annoying me!!'",The dog is pulling on the lead so hard that they are being dragged along.,"","","",1,1,1,4,4,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,4,3,2,2,2,1,1,1,4,4,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,49,woman,1,1,1,1,2022-07-08-14-13,2022-07-08-14-27,14,
s.96c40bda-9820-4c41-9d19-831488c32984.txt,6126b9430c33506567944999,2,They are trying to stop their dog from pulling ,Their frustrated about the dog pulling them ,They are shouting at the dog to try and stop it from pulling ,"","","",1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,4,2,1,1,1,1,2,2,2,1,3,2,2,2,2,2,1,1,1,2,2,2,2,28,Female,3,1,3,5,2022-07-06-11-58,2022-07-06-12-05,7,
s.ac48eb18-4bf0-4f63-9dfa-43fafb44ee6e.txt,5f48cd6061235238d144db2c,1,"","","",He is trying to controll his dog.,He is suprised about his dog pulling his leash.,He is stepping back to pull back his dog.,1,1,1,1,2,2,2,1,3,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,3,2,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,20,male,3,1,2,3,2022-07-08-14-07,2022-07-08-14-15,8,
s.c45b38ed-c7d9-437d-a6a5-719f5b73ebe6.txt,58bbf520464ae40001bec33c,1,"","","",He is struggling to walk his dog.,He is leaning back hard on the lead and getting annoyed.,His dog is pulling hard.,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,3,2,2,2,52,Female,4,3,5,4,2022-07-08-14-11,2022-07-08-14-17,6,
s.7188379b-2ec5-455c-baaf-0a18de31e0f6.txt,5bb21a6ed14ec100019840fb,1,"","","",Walking his dog,Trying to slow the dog down,Questioning thoughts ,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,30,Male,2,1,2,2,2022-07-08-14-14,2022-07-08-14-19,5,
s.74dfd93c-39ee-412d-b9c0-cbc70ab812bd.txt,5d824b54263f1b0001feb4d6,1,"","","",This person is taking the dog for a walk.,He is being dragged by his dog.,The person is beginning to lose his balance as his dog is dragging him and he is unable to control it.,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,68,Female,5,5,5,5,2022-07-08-14-10,2022-07-08-14-21,11,
s.f07e9cbc-7d3e-40d2-a0e5-6576ab950f97.txt,5dfeb647c0b81fb457299d05,2,The person is taking their dog for a walk.,"Clearly, the person had underestimated the enthusiasm of their dog!",The dog is pulling at the leash; the person is startled and attempting to draw their dogs attention to make them slow down.,"","","",1,1,1,3,2,2,2,1,1,2,2,2,2,2,1,1,4,4,2,2,2,1,1,4,4,2,2,2,1,1,3,3,2,3,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,4,2,2,2,2,2,1,1,4,2,2,2,2,22,Female,5,1,4,4,2022-07-08-14-11,2022-07-08-14-19,8,
s.1c0bdf9c-984c-422b-8374-4602c1fc675f.txt,5f23dd005a990d1d4fcfee68,1,"","","",He is trying to walk his dog. ,"However, the dog seems to be stronger than him by pulling him. ",He seems to be annoyed with dog for pulling. ,1,1,1,4,2,2,2,1,3,2,3,2,2,2,1,1,3,4,2,2,2,4,1,1,3,2,2,2,1,1,3,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,3,3,3,2,2,2,2,1,1,4,4,2,2,2,23,Woman ,5,3,4,5,2022-07-06-12-01,2022-07-06-12-09,8,
s.7b9477f3-e116-4618-a616-ee68f62f0104.txt,5f563771f9d13401b412c765,1,"","","",A man is taking his dog for a walk.,The dog is pulling on his lead.,The man seems angry and confused that the dog is pulling hard on the leash.,1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,4,2,1,1,4,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,4,4,2,2,2,2,2,1,1,1,2,2,2,2,50,Female,1,1,1,2,2022-07-08-14-05,2022-07-08-14-24,19,
