StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,samtycke,hon1,hon2,hon3,han1,han2,han3,hen1,hen2,hen3,control1,control2,control3,30f1,30f2,30f3,30f5,30f10,50f10,50f11,50f3,50f7,50f8,50f9,5030f7,50f12,50f17,50f13,75f1,75f2,75f4,75f5,70f3,Q60,Q62,GIS_1,GIS_2,GIS_3,GIS_4,essentialism_1,essentialism_2,essentialism_3,essentialism_4,essentialism_5,essentialism_6,essentialism_7,essentialism_8,hen_attitudes_1,hen_attitudes_2,hen_attitudes_3,hen_use,hen_hear,hen_fam,hen_fam_4_TEXT,Q66,Q68,Q70,Q72,token,han1 - Parent Topics,han1 - Topics
2020-11-12 05:47:44,2020-11-12 05:52:52,IP Address,95.140.187.146,100,308,TRUE,2020-11-12 05:52:53,R_2atXVBOsj2yXRo5,,,,,59.93179321,16.85820007,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,Hen paddlar,Hen star och paddlar SUP,Hen forsoker ta sig framat med hjalp av en paddel ,,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Man,Icke-binar,Man,Icke-binar,Kvinna,Icke-binar,Vet ej,Man,Kvinna,Kvinna,Kvinna,Icke-binar,27,Kvinna,4,3,2,5,3,"Stammer inte alls
1",3,5,4,3,5,"Stammer inte alls
1",4,6,6,Nagon gang om aret,Nagon gang per vecka,"Nej, kanner ingen som anvander hen som sitt pronomen",,Vad som anses lviooingt och manligt. Konstillhorighet ,Nej,,Ja,atbrxdu,,
2020-11-12 06:03:33,2020-11-12 06:13:22,IP Address,81.231.10.98,100,588,TRUE,2020-11-12 06:13:22,R_6tcEfwMTPDNbc4N,,,,,56.13560486,13.13090515,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,han star pa en surfbrada,Han paddlar,Han ar stark,,,,,,,Man,Man,Vet ej,Man,Man,Kvinna,Kvinna,Kvinna,Vet ej,Kvinna,Kvinna,Kvinna,Vet ej,Vet ej,Kvinna,Vet ej,Kvinna,Kvinna,Kvinna,Kvinna,60,kvinna,6,6,"Stammer inte alls
1",6,"Stammer helt
7",4,3,"Stammer helt
7","Stammer helt
7","Stammer inte alls
1",5,"Stammer inte alls
1","Mycket daligt
1","Mycket daligt
1",6,Aldrig,Nagon gang i manaden,"Nej, kanner ingen som anvander hen som sitt pronomen",,genus,nej,nej,nej,bectxuz,,
2020-11-12 06:30:10,2020-11-12 06:39:32,IP Address,83.233.199.95,100,562,TRUE,2020-11-12 06:39:33,R_3h0jpt0RraQ2M7W,,,,,56.87770081,14.80909729,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,Hon paddlar staende kanot,Hennes vanster hand ar over hoger handen pa paddeln.,Hon lutar at hoger.,,,,,,,,,,Man,Man,Kvinna,Man,Man,Icke-binar,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Icke-binar,Icke-binar,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,35,Kvinna,"Stammer helt
7","Stammer inte alls
1","Stammer inte alls
1","Stammer helt
7","Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1",5,"Stammer inte alls
1","Stammer helt
7","Stammer helt
7","Mycket bra
7",6,"Mycket bra
7",Dagligen,Dagligen,"Nej, kanner ingen som anvander hen som sitt pronomen",,Kon och genus,Nej,Nej,Nej,aucdzeh,,
2020-11-12 06:36:41,2020-11-12 06:44:17,IP Address,188.151.117.113,100,455,TRUE,2020-11-12 06:44:17,R_1n2wGQm23XTJ9X6,,,,,59.32870483,18.07170105,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Personen kor stand up padel board,Personen star framatlutad,Personen ror,Man,Man,Man,Man,Man,Icke-binar,Icke-binar,Icke-binar,Man,Kvinna,Man,Icke-binar,Kvinna,Kvinna,Icke-binar,Man,Kvinna,Kvinna,Kvinna,Icke-binar,35,Man,4,"Stammer helt
7",6,"Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1",3,"Stammer inte alls
1","Stammer helt
7","Stammer helt
7",4,"Mycket bra
7",4,Nagon gang om aret,Nagon gang om aret,"Nej, kanner ingen som anvander hen som sitt pronomen",,Samhallets syn pa genus,Nej,Nej,Ja vissa av ansiktena kunde verkligen vara bade ”man” och ”kvinna”. Hjarnan hoppade fram och tillbaka mellan alternativen ,aczsmcr,,
2020-11-12 06:57:00,2020-11-12 07:04:18,IP Address,147.186.189.200,100,438,TRUE,2020-11-12 07:04:19,R_1GThMbb5NUivbUM,,,,,59.32870483,18.07170105,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,Han paddlar stabrada,Han paddlar pa vattnet,Han saknar torso,,,,,,,Man,Man,Icke-binar,Man,Man,Icke-binar,Kvinna,Kvinna,Kvinna,Kvinna,Man,Icke-binar,Kvinna,Icke-binar,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,50,kvinna,"Stammer inte alls
1","Stammer helt
7","Stammer helt
7","Stammer helt
7","Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1",3,"Stammer inte alls
1","Stammer inte alls
1",3,"Stammer inte alls
1","Mycket bra
7","Mycket bra
7","Mycket bra
7",Nagon gang per vecka,Dagligen,"Ja, en kollega",,Hur vi genom utseendet bedomer andra manniskor,Nej,Nej,Nej,bcdanxr,,
2020-11-12 07:26:47,2020-11-12 07:38:01,IP Address,83.233.18.75,100,674,TRUE,2020-11-12 07:38:02,R_shVMDsGHtBwy6lP,,,,,55.70280457,13.19270325,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Personen paddlar,Personen havar,Personen trycker upp nagot med ett spett,Man,Man,Kvinna,Man,Man,Vet ej,Kvinna,Kvinna,Icke-binar,Kvinna,Kvinna,Icke-binar,Kvinna,Icke-binar,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,34,Man,5,2,4,6,"Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1","Stammer inte alls
1","Stammer helt
7","Stammer inte alls
1","Stammer helt
7","Stammer inte alls
1",2,"Mycket daligt
1","Mycket daligt
1",Aldrig,Nagon gang i manaden,"Nej, kanner ingen som anvander hen som sitt pronomen",,En studie kring konsidentiteter,Nej,Nej,Nagra var svara att bedoma utifran ett utseende men detta talar inte om hur en person valjer att identifiera sig som.,adpyanz,,
2020-11-12 07:27:02,2020-11-12 07:40:39,IP Address,213.102.81.221,100,817,TRUE,2020-11-12 07:40:40,R_31jCIuf9mW763AV,,,,,57.7071991,11.96679688,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,paddlar kanot,paddlar pa vindsurfinbrada,ute och nuter i guds fria natur,,,,Man,Man,Kvinna,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,70,man,"Stammer inte alls
1","Stammer helt
7",6,5,"Stammer helt
7",5,5,5,2,5,5,"Stammer inte alls
1",6,5,6,Nagon gang om aret,Nagon gang om aret,"Nej, kanner ingen som anvander hen som sitt pronomen",,att visa att avvikande beteende ar ocksa manniskor,ja ,nej,nej,akhrtzf,,
2020-11-12 07:33:47,2020-11-12 07:49:33,IP Address,90.129.197.48,100,945,TRUE,2020-11-12 07:49:33,R_1eQUdgoVguf4hZh,,,,,59.33329773,18.05000305,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,Hen star pa en Sup-brada och paddlar ,Hen gor rent poolen. ,Hen drar at en stor bult ,,,,Man,Man,Man,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,34,Man,2,3,4,3,"Stammer helt
7","Stammer inte alls
1","Stammer inte alls
1",4,"Stammer inte alls
1","Stammer inte alls
1","Stammer helt
7","Stammer helt
7","Mycket bra
7","Mycket bra
7",5,Nagon gang om aret,Nagon gang om aret,"Nej, kanner ingen som anvander hen som sitt pronomen",,Studie om konsroller ,Mitt undermedvetna tror jag kande sa ,Vet ej,Nej,aedgneb,,
2020-11-12 08:45:35,2020-11-12 08:54:05,IP Address,90.129.197.48,100,509,TRUE,2020-11-12 08:54:05,R_1eOCdTKi0wAuuNS,,,,,59.33329773,18.05000305,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,Hen paddlar pa en sup-brada,Hen gor rent poolen,Hen dra fast en stor bult ,,,,,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,34,Man,5,2,3,3,"Stammer helt
7","Stammer inte alls
1","Stammer inte alls
1","Stammer helt
7","Stammer inte alls
1","Stammer inte alls
1","Stammer helt
7","Stammer helt
7","Mycket bra
7","Mycket bra
7","Mycket bra
7",Nagon gang om aret,Nagon gang om aret,"Nej, kanner ingen som anvander hen som sitt pronomen",,Konsroller,Undermedvetet tror jag,Formodligen inte,Nej,aedgneb,,
2020-11-12 08:55:45,2020-11-12 09:01:59,IP Address,84.216.129.35,100,373,TRUE,2020-11-12 09:01:59,R_1I9MoonlnS8Au8F,,,,,59.32870483,18.07170105,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Star pa en brada,Tar sig fram med en paddel,Kan aven soppa pa marken,Man,Man,Man,Man,Man,Icke-binar,Kvinna,Kvinna,Man,Kvinna,Man,Icke-binar,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Icke-binar,42,Kvinna,5,4,5,5,"Stammer helt
7",5,"Stammer helt
7","Stammer helt
7",6,5,5,"Stammer inte alls
1","Mycket bra
7",5,"Mycket bra
7",Dagligen,Dagligen,"Ja, annan person (ange)",Forelasare pa hogskolan,Genusperspektiv ,Nej,Nej,En del ansikten kunde vara bade hon och han,ayzbnty,,
2020-11-12 08:48:50,2020-11-12 09:09:27,IP Address,82.196.111.138,100,1236,TRUE,2020-11-12 09:09:27,R_SQ4gQhxkvJp0tSV,,,,,59.32870483,18.07170105,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,Hen paddlar men en lang paddel,Hen star upp och paddlar,Hen star latt framatlutad,,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Vet ej,Vet ej,Vet ej,Kvinna,Vet ej,Kvinna,Vet ej,Vet ej,Kvinna,Kvinna,Kvinna,Vet ej,60,Kvinna,5,4,2,6,2,"Stammer inte alls
1","Stammer inte alls
1",2,3,2,5,3,3,3,3,Nagon gang i manaden,Nagon gang i manaden,"Nej, kanner ingen som anvander hen som sitt pronomen",,Konsidentitet,Nej,Nej,Nej,bevwzfq,,
2020-11-12 10:34:24,2020-11-12 10:41:02,IP Address,78.70.127.175,100,397,TRUE,2020-11-12 10:41:02,R_Om1UB0vhr2zh3bj,,,,,58.38070679,12.32339478,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,Han ror,Star pa en brada,Han skejtar,,,,,,,Man,,Kvinna,Man,Man,Man,Man,Kvinna,Man,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,76,Kvinna,"Stammer helt
7",6,6,"Stammer helt
7","Stammer helt
7","Stammer helt
7","Stammer inte alls
1","Stammer helt
7",4,"Stammer helt
7",4,"Stammer inte alls
1",4,4,4,Aldrig,Nagon gang i manaden,"Nej, kanner ingen som anvander hen som sitt pronomen",,Manniskor ,Nej,Nej,Nej,bfnoayw,,
2020-11-05 07:12:07,2020-11-05 10:41:27,IP Address,5.10.11.179,81,12559,FALSE,2020-11-12 10:41:27,R_3ktFXbFa7AvCAVr,,,,,,,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,,,,,,,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
